"Match","Group","Home","Away","Home Goals","Away Goals","Result"
3,"A","Mexico","South Africa",2,0,"Mexico"
4,"A","South Korea","Czechia",2,1,"South Korea"
11,"B","Canada","Bosnia-Herzegovina",1,1,"Draw"
19,"D","USA","Paraguay",4,1,"USA"
20,"D","Australia","Turkiye",,,
12,"B","Switzerland","Qatar",1,1,"Draw"
13,"C","Brazil","Morocco",,,
14,"C","Scotland","Haiti",,,
29,"E","Germany","Curacao",,,
31,"F","Netherlands","Japan",,,
30,"E","Ecuador","Ivory Coast",,,
32,"F","Tunisia","Sweden",,,
47,"H","Spain","Cape Verde",,,
39,"G","Belgium","Egypt",,,
48,"H","Uruguay","Saudi Arabia",,,
40,"G","Iran","New Zealand",,,
58,"J","Austria","Jordan",,,
49,"I","France","Senegal",,,
50,"I","Norway","Iraq",,,
57,"J","Argentina","Algeria",,,
65,"K","Portugal","DR Congo",,,
67,"L","England","Croatia",,,
68,"L","Panama","Ghana",,,
66,"K","Colombia","Uzbekistan",,,
2,"A","South Africa","Czechia",,,
10,"B","Switzerland","Bosnia-Herzegovina",,,
9,"B","Canada","Qatar",,,
1,"A","Mexico","South Korea",,,
22,"D","Paraguay","Turkiye",,,
18,"C","Morocco","Scotland",,,
21,"D","USA","Australia",,,
17,"C","Brazil","Haiti",,,
36,"F","Japan","Tunisia",,,
35,"F","Netherlands","Sweden",,,
27,"E","Germany","Ivory Coast",,,
28,"E","Ecuador","Curacao",,,
45,"H","Spain","Saudi Arabia",,,
37,"G","Belgium","Iran",,,
46,"H","Uruguay","Cape Verde",,,
38,"G","Egypt","New Zealand",,,
55,"J","Argentina","Austria",,,
53,"I","France","Iraq",,,
54,"I","Senegal","Norway",,,
56,"J","Algeria","Jordan",,,
63,"K","Portugal","Uzbekistan",,,
71,"L","England","Ghana",,,
72,"L","Croatia","Panama",,,
64,"K","Colombia","DR Congo",,,
7,"B","Canada","Switzerland",,,
8,"B","Qatar","Bosnia-Herzegovina",,,
15,"C","Brazil","Scotland",,,
16,"C","Morocco","Haiti",,,
5,"A","Mexico","Czechia",,,
6,"A","South Korea","South Africa",,,
25,"E","Germany","Ecuador",,,
26,"E","Ivory Coast","Curacao",,,
33,"F","Netherlands","Tunisia",,,
34,"F","Japan","Sweden",,,
23,"D","USA","Turkiye",,,
24,"D","Paraguay","Australia",,,
51,"I","France","Norway",,,
52,"I","Senegal","Iraq",,,
43,"H","Spain","Uruguay",,,
44,"H","Saudi Arabia","Cape Verde",,,
41,"G","Belgium","New Zealand",,,
42,"G","Iran","Egypt",,,
69,"L","England","Panama",,,
70,"L","Croatia","Ghana",,,
61,"K","Portugal","Colombia",,,
62,"K","Uzbekistan","DR Congo",,,
59,"J","Argentina","Jordan",,,
60,"J","Austria","Algeria",,,
