Team,Group,Group Finish,Round of 16,Quarter Finals,Semi Finals,Final,Winner
Qatar,A,4,0,,,,
Ecuador,A,3,0,,,,
Senegal,A,2,1,0,,,
Netherlands,A,1,1,1,0,,
England,B,1,1,1,0,,
Iran,B,3,0,,,,
USA,B,2,1,0,,,
Wales,B,4,0,,,,
Argentina,C,1,1,1,1,1,1
Saudi Arabia,C,4,0,,,,
Mexico,C,3,0,,,,
Poland,C,2,0,0,,,
France,D,1,1,1,1,1,
Australia,D,2,1,0,,,
Denmark,D,4,0,,,,
Tunisia,D,3,0,,,,
Spain,E,2,1,0,,,
Costa Rica,E,4,0,,,,
Germany,E,3,0,,,,
Japan,E,1,1,0,,,
Belgium,F,3,0,,,,
Canada,F,4,0,,,,
Morocco,F,2,1,1,1,0,
Croatia,F,1,1,1,1,0,
Brazil,G,1,1,1,0,,
Serbia,G,4,0,,,,
Switzerland,G,2,1,0,,,
Cameroon,G,3,0,,,,
Portugal,H,1,1,1,0,,
Ghana,H,4,0,,,,
Uruguay,H,3,0,,,,
South Korea,H,2,1,0,,,
