"Team","Group","Group Finish","Round of 16","Quarter Finals","Semi Finals","Final","Winner"
"Mexico","A",1,,,,,
"South Korea","A",3,,,,,
"South Africa","A",2,,,,,
"Czechia","A",4,,,,,
"Canada","B",2,,,,,
"Switzerland","B",1,,,,,
"Qatar","B",4,,,,,
"Bosnia-Herzegovina","B",3,,,,,
"Brazil","C",1,,,,,
"Morocco","C",2,,,,,
"Scotland","C",3,,,,,
"Haiti","C",4,,,,,
"USA","D",1,,,,,
"Paraguay","D",3,,,,,
"Australia","D",2,,,,,
"Turkiye","D",4,,,,,
"Germany","E",1,,,,,
"Ecuador","E",3,,,,,
"Ivory Coast","E",2,,,,,
"Curacao","E",4,,,,,
"Netherlands","F",1,,,,,
"Japan","F",2,,,,,
"Tunisia","F",4,,,,,
"Sweden","F",3,,,,,
"Belgium","G",,,,,,
"Iran","G",,,,,,
"Egypt","G",,,,,,
"New Zealand","G",,,,,,
"Spain","H",,,,,,
"Uruguay","H",,,,,,
"Saudi Arabia","H",,,,,,
"Cape Verde","H",,,,,,
"France","I",1,,,,,
"Senegal","I",3,,,,,
"Norway","I",2,,,,,
"Iraq","I",4,,,,,
"Argentina","J",1,,,,,
"Austria","J",,,,,,
"Algeria","J",,,,,,
"Jordan","J",4,,,,,
"Portugal","K",,,,,,
"Colombia","K",,,,,,
"Uzbekistan","K",,,,,,
"DR Congo","K",,,,,,
"England","L",,,,,,
"Croatia","L",,,,,,
"Panama","L",,,,,,
"Ghana","L",,,,,,
